460	0.011318888
460.5	0.01211376
461	0.0126696083
461.5	0.0136206066
462	0.0143881209
462.5	0.0155605291
463	0.016417162
463.5	0.0176446603
464	0.0188403038
464.5	0.0204648259
465	0.0215668536
465.5	0.0233427799
466	0.0249137108
466.5	0.0271053241
467	0.0286516707
467.5	0.0311727005
468	0.0336031876
468.5	0.0364591805
469	0.0387001875
469.5	0.0420447212
470	0.0453271942
470.5	0.0490310506
471	0.0519754875
471.5	0.0566045585
472	0.0610120696
472.5	0.0662374632
473	0.070418093
473.5	0.0765513122
474	0.0824801357
474.5	0.0893358977
475	0.0949311823
475.5	0.1034347766
476	0.1107958689
476.5	0.1208716685
477	0.1275365263
477.5	0.1389365879
478	0.1475451908
478.5	0.1606097242
479	0.169131532
479.5	0.1823964137
480	0.1937494051
480.5	0.2081693808
481	0.2193806369
481.5	0.2331892995
482	0.2460448651
482.5	0.2632282673
483	0.2758406868
483.5	0.2921420471
484	0.3064634602
484.5	0.3240668217
485	0.3375716266
485.5	0.3541138844
486	0.368181808
486.5	0.3866343821
487	0.4001276442
487.5	0.4164720273
488	0.431764451
488.5	0.4502320157
489	0.4626621505
489.5	0.4804220879
490	0.4948102838
490.5	0.5138526597
491	0.5263637433
491.5	0.543851378
492	0.5593639375
492.5	0.576796482
493	0.5895263522
493.5	0.6065657705
494	0.6215971344
494.5	0.6368717194
495	0.6486588361
495.5	0.6647081309
496	0.6788444862
496.5	0.6933843111
497	0.7051295293
497.5	0.7190392279
498	0.7323779379
498.5	0.7462202541
499	0.7568051316
499.5	0.7695403234
500	0.781322868
500.5	0.7942289516
501	0.8023395696
501.5	0.8152598943
502	0.824919782
502.5	0.836000021
503	0.8441915878
503.5	0.8543424148
504	0.8627086211
504.5	0.8716662032
505	0.8781675895
505.5	0.8861275528
506	0.8926889011
506.5	0.9000402495
507	0.9060626888
507.5	0.9121810674
508	0.9174689715
508.5	0.923337758
509	0.9274736411
509.5	0.931854619
510	0.936238595
510.5	0.9406570493
511	0.9443019929
511.5	0.9481118322
512	0.9518961877
512.5	0.9555358847
513	0.9583765872
513.5	0.9610973656
514	0.9643248235
514.5	0.9664639699
515	0.9688354694
515.5	0.9716514376
516	0.9734660394
516.5	0.9761935635
517	0.9783304614
517.5	0.9801488108
518	0.9816426156
518.5	0.9830966956
519	0.9847651399
519.5	0.9862469522
520	0.9871246469
520.5	0.9884085845
521	0.9899451122
521.5	0.9903018865
522	0.9916420385
522.5	0.9923690785
523	0.993228035
523.5	0.9937549516
524	0.9943987942
524.5	0.9946671244
525	0.9956242687
525.5	0.9963408153
526	0.9971135764
526.5	0.9971488041
527	0.9975775328
527.5	0.9979965177
528	0.9982828365
528.5	0.9983675329
529	0.9988734628
529.5	0.9990503509
530	0.9995525331
530.5	0.9991327987
531	1
531.5	0.9995990037
532	0.9997121821
532.5	0.9992722105
533	0.9992939468
533.5	0.9992939468
534	0.9994461005
534.5	0.998122438
535	0.9980894589
535.5	0.9978848384
536	0.9983937663
536.5	0.9977206922
537	0.99796129
537.5	0.996723823
538	0.996535692
538.5	0.9953911662
539	0.9954241454
539.5	0.9943028549
540	0.9934101697
540.5	0.9913969436
541	0.9910161845
541.5	0.9887008995
542	0.9871995995
542.5	0.9853115441
543	0.9842157375
543.5	0.9818749686
544	0.9795656798
544.5	0.9773215998
545	0.9752686488
545.5	0.9728574245
546	0.97111028
546.5	0.9678273572
547	0.9662211236
547.5	0.9628175272
548	0.9600128019
548.5	0.9567741012
549	0.9543156568
549.5	0.9500568515
550	0.9473435684
550.5	0.9426253038
551	0.9400866602
551.5	0.9360796956
552	0.9325134521
552.5	0.9273866961
553	0.9243226349
553.5	0.9198427195
554	0.9153043412
554.5	0.9098215604
555	0.9063220247
555.5	0.901858599
556	0.8976042909
556.5	0.8919393754
557	0.8893842421
557.5	0.8840011483
558	0.8795931874
558.5	0.8738578165
559	0.8708552164
559.5	0.8650321509
560	0.8612597879
560.5	0.8548663333
561	0.8519416839
561.5	0.8458975084
562	0.8414753065
562.5	0.8354588634
563	0.832259138
563.5	0.8256033495
564	0.8210986998
564.5	0.8146970005
565	0.8114762884
565.5	0.8052274923
566	0.8005774346
566.5	0.7951973389
567	0.7914901846
567.5	0.7853778022
568	0.7808116914
568.5	0.7749294134
569	0.7713609214
569.5	0.7655273626
570	0.7610107205
570.5	0.7552198846
571	0.7519077304
571.5	0.7460801678
572	0.7412045029
572.5	0.7353798634
573	0.7323005868
573.5	0.7256967404
574	0.7215671534
574.5	0.7154349835
575	0.7111139676
575.5	0.705997705
576	0.7001119042
576.5	0.6946035646
577	0.68998019
577.5	0.6841209225
578	0.6795809701
578.5	0.6730900773
579	0.6691076222
579.5	0.6634876032
580	0.6586886148
580.5	0.6530553292
581	0.6497158173
581.5	0.644384066
582	0.640082163
582.5	0.6340301924
583	0.6310039822
583.5	0.6253723456
584	0.6211998858
584.5	0.6156970177
585	0.612915003
585.5	0.6069358114
586	0.6026336835
586.5	0.5973593459
587	0.5936011489
587.5	0.5878058908
588	0.5832086747
588.5	0.5779920505
589	0.5744454446
589.5	0.5687213915
590	0.5644949658
590.5	0.5594170788
591	0.5563521931
591.5	0.5515088328
592	0.5466845104
592.5	0.5417438616
593	0.5379338723
593.5	0.5324563383
594	0.527878235
594.5	0.5230506897
595	0.5198864169
595.5	0.5147371751
596	0.5101199466
596.5	0.5056997685
597	0.5022223438
597.5	0.4974516874
598	0.4932081725
598.5	0.4876574098
599	0.4839182507
599.5	0.4793873676
600	0.4743175756
600.5	0.4692435112
601	0.4651988454
